Epoch		Step		TotalStep		Det-loss		Reg-loss		TrainMode
1		50		50		1.0819		None		0
1		100		100		0.9745		None		0
1		150		150		0.9531		None		0
1		200		200		0.9583		None		0
1		250		250		0.9790		None		0
1		300		300		0.9648		None		0
1		350		350		0.9575		None		0
1		400		400		0.9444		None		0
1		450		450		0.9225		None		0
1		500		500		0.9002		None		0
1		550		550		0.8968		None		0
1		600		600		0.8857		None		0
1		650		650		0.8519		None		0
1		700		700		0.8738		None		0
1		750		750		0.7172		None		0
1		800		800		0.6731		None		0
1		850		850		0.7050		None		0
1		900		900		0.6679		None		0
1		950		950		0.6708		None		0
1		1000		1000		0.6718		None		0
1		1050		1050		0.6230		None		0
1		1100		1100		0.6754		None		0
1		1150		1150		0.6492		None		0
1		1200		1200		0.6355		None		0
1		1250		1250		0.6215		None		0
1		1300		1300		0.6466		None		0
1		1350		1350		0.6307		None		0
1		1400		1400		0.6218		None		0
1		1450		1450		0.6214		None		0
1		1500		1500		0.6348		None		0
1		1550		1550		0.6037		None		0
1		1600		1600		0.6270		None		0
1		1650		1650		0.6305		None		0
1		1700		1700		0.6091		None		0
1		1750		1750		0.6091		None		0
1		1800		1800		0.6189		None		0
1		1850		1850		0.6029		None		0
1		1900		1900		0.6116		None		0
1		1950		1950		0.6016		None		0
1		2000		2000		0.6042		None		0
1		2050		2050		0.6030		None		0
1		2100		2100		0.6117		None		0
1		2150		2150		0.6179		None		0
1		2200		2200		0.6057		None		0
1		2250		2250		0.6099		None		0
1		2300		2300		0.5989		None		0
1		2350		2350		0.5981		None		0
1		2400		2400		0.5820		None		0
1		2450		2450		0.5878		None		0
1		2500		2500		0.5933		None		0
1		2550		2550		0.5741		None		0
1		2600		2600		0.5808		None		0
1		2650		2650		0.5760		None		0
1		2700		2700		0.5761		None		0
1		2750		2750		0.5864		None		0
1		2800		2800		0.5939		None		0
1		2850		2850		0.5799		None		0
1		2900		2900		0.5710		None		0
1		2950		2950		0.5682		None		0
1		3000		3000		0.5666		None		0
1		3050		3050		0.5644		None		0
1		3100		3100		0.5686		None		0
1		3150		3150		0.5660		None		0
1		3200		3200		0.5698		None		0
1		3250		3250		0.6098		None		0
1		3300		3300		0.6217		None		0
1		3350		3350		0.5812		None		0
1		3400		3400		0.5745		None		0
1		3450		3450		0.5645		None		0
1		3500		3500		0.6164		None		0
1		3550		3550		0.3848		None		0
1		3600		3600		0.1733		None		0
1		3650		3650		0.1585		None		0
1		3700		3700		0.1828		None		0
1		3750		3750		0.0987		None		0
1		3800		3800		0.0578		None		0
1		3850		3850		0.0943		None		0
1		3900		3900		0.0771		None		0
1		3950		3950		0.0809		None		0
1		4000		4000		0.0987		None		0
1		4050		4050		0.0370		None		0
1		4100		4100		0.0867		None		0
1		4150		4150		0.0757		None		0
1		4200		4200		0.0686		None		0
1		4250		4250		0.0714		None		0
1		4300		4300		0.0938		None		0
1		4350		4350		0.0454		None		0
1		4400		4400		0.0657		None		0
1		4450		4450		0.0463		None		0
1		4500		4500		0.0648		None		0
1		4550		4550		0.0570		None		0
1		4600		4600		0.0399		None		0
1		4650		4650		0.0598		None		0
1		4700		4700		0.0280		None		0
1		4750		4750		0.0248		None		0
1		4800		4800		0.0658		None		0
1		4850		4850		0.0803		None		0
1		4900		4900		0.0412		None		0
1		4950		4950		0.0577		None		0
1		5000		5000		0.0572		None		0
1		5050		5050		0.0571		None		0
1		5100		5100		0.0473		None		0
1		5150		5150		0.0575		None		0
1		5200		5200		0.0406		None		0
1		5250		5250		0.0616		None		0
1		5300		5300		0.0336		None		0
1		5350		5350		0.0401		None		0
1		5400		5400		0.0210		None		0
1		5450		5450		0.0395		None		0
1		5500		5500		0.0474		None		0
1		5550		5550		0.0242		None		0
1		5600		5600		0.0365		None		0
1		5650		5650		0.0242		None		0
1		5700		5700		0.0384		None		0
1		5750		5750		0.0329		None		0
1		5800		5800		0.0295		None		0
1		5850		5850		0.0485		None		0
1		5900		5900		0.0354		None		0
1		5950		5950		0.0391		None		0
1		6000		6000		0.0316		None		0
2		50		6050		0.0279		None		0
2		100		6100		0.0301		None		0
2		150		6150		0.0191		None		0
2		200		6200		0.0383		None		0
2		250		6250		0.0360		None		0
2		300		6300		0.0437		None		0
2		350		6350		0.0248		None		0
2		400		6400		0.0200		None		0
2		450		6450		0.0210		None		0
2		500		6500		0.0190		None		0
2		550		6550		0.0225		None		0
2		600		6600		0.0284		None		0
2		650		6650		0.0254		None		0
2		700		6700		0.0269		None		0
2		750		6750		0.0243		None		0
2		800		6800		0.0235		None		0
2		850		6850		0.0174		None		0
2		900		6900		0.0303		None		0
2		950		6950		0.0383		None		0
