Epoch		Step		TotalStep		Det-loss		Reg-loss		TrainMode
1		50		50		0.9665		None		0
1		100		100		0.9047		None		0
1		150		150		0.8737		None		0
1		200		200		0.8646		None		0
1		250		250		0.8559		None		0
1		300		300		0.8114		None		0
1		350		350		0.7084		None		0
1		400		400		0.6606		None		0
1		450		450		0.6503		None		0
1		500		500		0.6323		None		0
1		550		550		0.6327		None		0
1		600		600		0.6178		None		0
1		650		650		0.6079		None		0
1		700		700		0.6083		None		0
1		750		750		0.6105		None		0
1		800		800		0.6088		None		0
1		850		850		0.6061		None		0
1		900		900		0.6000		None		0
1		950		950		0.5968		None		0
1		1000		1000		0.5978		None		0
1		1050		1050		0.5896		None		0
1		1100		1100		0.5913		None		0
1		1150		1150		0.5921		None		0
1		1200		1200		0.5889		None		0
1		1250		1250		0.5937		None		0
1		1300		1300		0.5944		None		0
1		1350		1350		0.5861		None		0
1		1400		1400		0.5959		None		0
1		1450		1450		0.5881		None		0
1		1500		1500		0.5855		None		0
